emotion	line	value
1	1	0
2	1	0
3	1	0
4	1	0
5	1	0
1	2	0
2	2	0
3	2	0
4	2	0
5	2	0
1	3	0
2	3	0
3	3	0
4	3	0
5	3	0
1	4	0
2	4	0
3	4	0
4	4	0
5	4	0
1	5	0
2	5	0
3	5	0
4	5	0
5	5	0
1	6	0
2	6	0
3	6	0
4	6	0
5	6	0
4	7	56.505399999999995
2	7	0
3	7	0
1	7	0
5	7	0
1	8	0
2	8	0
3	8	0
4	8	0
5	8	0
1	9	0
2	9	0
3	9	0
4	9	0
5	9	0
1	10	0
2	10	0
3	10	0
4	10	0
5	10	0
4	11	57.8097
2	11	0
3	11	0
1	11	0
5	11	0
2	12	63.599700000000006
1	12	0
3	12	0
4	12	0
5	12	0
3	13	68.71310000000001
2	13	0
1	13	0
4	13	0
5	13	0
1	14	0
2	14	0
3	14	0
4	14	0
5	14	0
3	15	72.4242
2	15	0
1	15	0
4	15	0
5	15	0
3	16	82.5616
2	16	0
1	16	0
4	16	0
5	16	0
3	17	51.481500000000004
2	17	0
1	17	0
4	17	0
5	17	0
3	18	72.1437
2	18	0
1	18	0
4	18	0
5	18	0
3	19	51.318
2	19	0
1	19	0
4	19	0
5	19	0
3	20	85.08109999999999
2	20	0
1	20	0
4	20	0
5	20	0
4	21	65.4866
2	21	0
3	21	0
1	21	0
5	21	0
1	22	0
2	22	0
3	22	0
4	22	0
5	22	0
1	23	0
2	23	0
3	23	0
4	23	0
5	23	0
4	24	91.6667
2	24	0
3	24	0
1	24	0
5	24	0
3	25	50.9827
2	25	0
1	25	0
4	25	0
5	25	0
1	26	0
2	26	0
3	26	0
4	26	0
5	26	0
1	27	0
2	27	0
3	27	0
4	27	0
5	27	0
3	28	82.42580000000001
2	28	0
1	28	0
4	28	0
5	28	0
1	29	0
2	29	0
3	29	0
4	29	0
5	29	0
1	30	0
2	30	0
3	30	0
4	30	0
5	30	0
1	31	0
2	31	0
3	31	0
4	31	0
5	31	0
1	32	0
2	32	0
3	32	0
4	32	0
5	32	0
1	33	0
2	33	0
3	33	0
4	33	0
5	33	0
1	34	0
2	34	0
3	34	0
4	34	0
5	34	0
1	35	54.55029999999999
2	35	0
3	35	0
4	35	0
5	35	0
1	36	0
2	36	0
3	36	0
4	36	0
5	36	0
3	37	54.731300000000005
2	37	0
1	37	0
4	37	0
5	37	0
1	38	0
2	38	0
3	38	0
4	38	0
5	38	0
1	39	0
2	39	0
3	39	0
4	39	0
5	39	0
1	40	0
2	40	0
3	40	0
4	40	0
5	40	0
1	41	0
2	41	0
3	41	0
4	41	0
5	41	0
1	42	0
2	42	0
3	42	0
4	42	0
5	42	0
4	43	71.57
2	43	0
3	43	0
1	43	0
5	43	0
3	44	61.3833
2	44	0
1	44	0
4	44	0
5	44	0
1	45	0
2	45	0
3	45	0
4	45	0
5	45	0
4	46	74.6372
2	46	0
3	46	0
1	46	0
5	46	0
1	47	0
2	47	0
3	47	0
4	47	0
5	47	0
2	48	54.232499999999995
1	48	0
3	48	0
4	48	0
5	48	0
1	49	0
2	49	0
3	49	0
4	49	0
5	49	0
1	50	0
2	50	0
3	50	0
4	50	0
5	50	0
3	51	79.3409
2	51	0
1	51	0
4	51	0
5	51	0
4	52	77.8713
2	52	0
3	52	0
1	52	0
5	52	0
2	53	59.0022
1	53	0
3	53	0
4	53	0
5	53	0
1	54	0
2	54	0
3	54	0
4	54	0
5	54	0
4	55	88.7094
2	55	0
3	55	0
1	55	0
5	55	0
3	56	71.3575
2	56	0
1	56	0
4	56	0
5	56	0
4	57	87.8793
2	57	0
3	57	0
1	57	0
5	57	0
1	58	0
2	58	0
3	58	0
4	58	0
5	58	0
1	59	0
2	59	0
3	59	0
4	59	0
5	59	0
1	60	50.3007
2	60	0
3	60	0
4	60	0
5	60	0
3	61	86.0635
2	61	0
1	61	0
4	61	0
5	61	0
1	62	0
2	62	0
3	62	0
4	62	0
5	62	0
1	63	0
2	63	0
3	63	0
4	63	0
5	63	0
1	64	0
2	64	0
3	64	0
4	64	0
5	64	0
1	65	0
2	65	0
3	65	0
4	65	0
5	65	0
3	66	54.295300000000005
2	66	0
1	66	0
4	66	0
5	66	0
1	67	52.8112
2	67	0
3	67	0
4	67	0
5	67	0
1	68	0
2	68	0
3	68	0
4	68	0
5	68	0
1	69	0
2	69	0
3	69	0
4	69	0
5	69	0
3	70	75.35969999999999
2	70	0
1	70	0
4	70	0
5	70	0
3	71	56.3302
2	71	0
1	71	0
4	71	0
5	71	0
1	72	0
2	72	0
3	72	0
4	72	0
5	72	0
3	73	57.47560000000001
2	73	0
1	73	0
4	73	0
5	73	0
